file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
level3_pronunciation_data_41,0.0,1.08,mfa_labwav,-49.13302047164352,,,26.75627262185204
level4_pronunciation_data_29,0.0,1.824,mfa_labwav,-54.22699175824176,,,27.58652537413206
level4_pronunciation_data_28,0.0,2.184,mfa_labwav,-51.799253691227065,,,23.58347094750186
level4_pronunciation_data_31,0.0,1.512,mfa_labwav,-61.71556162044702,,,12.076900948895526
level2_pronunciation_data_38,0.0,0.696,mfa_labwav,-53.15589773995536,,,24.37674900994012
level1_pronunciation_data_16,0.0,0.816,mfa_labwav,-50.98426186166159,,,23.234934790078615
level3_pronunciation_data_47,0.0,1.08,mfa_labwav,-52.065108687789355,,,24.31919317081826
level2_pronunciation_data_31,0.0,0.96,mfa_labwav,-59.60069274902344,,,16.24354007682477
level4_pronunciation_data_22,0.0,1.92,mfa_labwav,-53.928466796875,,,16.159887004192406
level3_pronunciation_data_16,0.0,1.008,mfa_labwav,-50.16756265470297,,,21.84972899028733
level1_pronunciation_data_45,0.0,0.888,mfa_labwav,-50.05175232619382,,,24.338696777513135
level4_pronunciation_data_38,0.0,1.464,mfa_labwav,-54.9224201359161,,,24.191778223880995
level3_pronunciation_data_10,0.0,1.08,mfa_labwav,-51.630818684895836,,,22.635775312771177
level2_pronunciation_data_25,0.0,0.96,mfa_labwav,-50.6316884358724,,,26.739339861516573
level2_pronunciation_data_0,0.0,0.696,mfa_labwav,-56.632655552455354,,,23.99867276535909
level1_pronunciation_data_4,0.0,0.768,mfa_labwav,-47.780840985186686,,,23.755813441364623
level1_pronunciation_data_6,0.0,0.768,mfa_labwav,-56.11634410511363,,,24.047443641651434
level1_pronunciation_data_17,0.0,0.864,mfa_labwav,-50.872643759084305,,,22.481720362158995
level4_pronunciation_data_5,0.0,2.424,mfa_labwav,-55.769168065599175,,,12.178130725612341
level3_pronunciation_data_36,0.0,0.864,mfa_labwav,-52.52811023800872,,,23.032421553618853
level1_pronunciation_data_41,0.0,0.96,mfa_labwav,-55.99436950683594,,,23.089386447089904
level4_pronunciation_data_15,0.0,1.296,mfa_labwav,-49.571844951923076,,,26.134929101373842
level3_pronunciation_data_26,0.0,1.176,mfa_labwav,-54.88109110169491,,,32.16561014072168
level3_pronunciation_data_45,0.0,1.032,mfa_labwav,-49.93503015018204,,,23.481561210086028
level2_pronunciation_data_34,0.0,0.96,mfa_labwav,-52.14442443847656,,,21.760428469141985
level1_pronunciation_data_5,0.0,0.744,mfa_labwav,-50.942036396748314,,,25.75901698996494
level1_pronunciation_data_13,0.0,0.888,mfa_labwav,-62.33762728230337,,,25.167564746897767
level1_pronunciation_data_14,0.0,0.864,mfa_labwav,-49.98083212209303,,,22.279213453286417
level3_pronunciation_data_49,0.0,1.104,mfa_labwav,-61.867191938920456,,,13.298945855980653
level1_pronunciation_data_47,0.0,0.96,mfa_labwav,-48.58093770345052,,,20.343922872402306
level4_pronunciation_data_24,0.0,1.152,mfa_labwav,-50.1523777173913,,,26.39497696740074
level3_pronunciation_data_4,0.0,0.984,mfa_labwav,-54.467414700255105,,,23.167379433630515
level1_pronunciation_data_25,0.0,0.768,mfa_labwav,-51.84403218851461,,,21.085980084039093
level1_pronunciation_data_33,0.0,0.84,mfa_labwav,-52.16384742373512,,,20.074678549216877
level3_pronunciation_data_5,0.0,0.84,mfa_labwav,-55.27561732700893,,,30.564418163542296
level2_pronunciation_data_13,0.0,0.816,mfa_labwav,-49.95584032012195,,,23.26806260844411
level3_pronunciation_data_55,0.0,1.008,mfa_labwav,-50.67118367110149,,,23.095373727279163
level1_pronunciation_data_46,0.0,0.768,mfa_labwav,-54.815676998782465,,,21.100970391050453
level2_pronunciation_data_10,0.0,0.696,mfa_labwav,-54.55848911830357,,,23.778804591808658
level3_pronunciation_data_48,0.0,1.056,mfa_labwav,-55.4996176665684,,,26.25750334728134
level3_pronunciation_data_22,0.0,1.056,mfa_labwav,-54.59954488502358,,,26.80032493212373
level1_pronunciation_data_34,0.0,0.936,mfa_labwav,-64.22913376828457,,,20.95282701210869
level3_pronunciation_data_46,0.0,1.032,mfa_labwav,-53.90502218598301,,,23.778075420985605
level3_pronunciation_data_52,0.0,1.032,mfa_labwav,-51.55526111195388,,,22.371113478001245
level2_pronunciation_data_35,0.0,0.72,mfa_labwav,-58.055752224392364,,,18.75013043518318
level3_pronunciation_data_27,0.0,1.152,mfa_labwav,-52.139453125,,,32.7242530732816
level2_pronunciation_data_28,0.0,1.104,mfa_labwav,-56.68978160511364,,,24.716823183636812
level2_pronunciation_data_4,0.0,0.792,mfa_labwav,-51.964182407041136,,,26.630206301404158
level3_pronunciation_data_53,0.0,1.008,mfa_labwav,-50.02831547803218,,,23.789337608545853
level2_pronunciation_data_18,0.0,0.72,mfa_labwav,-60.08654106987847,,,22.02699640168696
level2_pronunciation_data_58,0.0,0.984,mfa_labwav,-54.40460578762755,,,22.96643416430635
level3_pronunciation_data_33,0.0,1.008,mfa_labwav,-58.99608891553218,,,22.844171067255505
level2_pronunciation_data_16,0.0,0.696,mfa_labwav,-55.43461565290178,,,18.27454785771885
level4_pronunciation_data_12,0.0,0.864,mfa_labwav,-55.31569086119186,,,18.245110616822544
